OG0006804.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
-0.9132162338579334	-0.5420380555473153	-0.9018499789079885	-1.534913621113934	-0.6610907271910786	-0.6794575575715407	0.40064722052282803	-0.9700171337842857	-1.626379626754263	-1.2039006722965686	-2.879382638782058	-1.8416629728328997	-1.1587514286937521	-1.446934455954395	-0.6443071024337754	-0.5075827599241425	-1.1883645691462565	-0.512925319948276	-0.07369688813860564	-0.5428785420499038	-0.35752946268417823	-2.554697057863487	-1.0540927027897475	-1.3375210295767486	-1.4131151871478154	-0.43908943912011134
OG0002761.0	OG0014849.0	OG0000109.0	OG0004961.2	OG0000279.0	OG0000265.0	OG0008128.0	OG0001550.0	OG0010995.2	OG0000318.0	OG0000011.1	OG0003329.0	OG0002946.0	OG0001347.26	OG0001667.0	OG0000702.24	OG0000884.25	OG0005222.2	OG0000671.12	OG0000431.12	OG0004964.6	OG0002185.6	OG0005687.4	OG0000006.561	OG0000112.0	OG0006611.0	OG0004968.14
-0.45047867921036217	-2.0121698234627274	-0.30953820508128127	-1.213570916796944	-0.7006381023484414	-1.097270360766624	-0.6467896443759994	-1.0794780212096609	-1.873555700275309	-0.8614476248473515	0.5140970048942337	-0.9845024306046745	-0.8656476133766372	-0.9409216577987469	-0.4741315765598182	-1.9674759343078005	-1.4158071418902627	-1.6601784950766576	-1.4058336719490039	-0.3122226226036953	-1.0997417875652502	-1.386091221203337	-1.550887680450584	-0.17266872938773947	-0.1919857109104024	-0.9567955014348324	-1.0991235338421013
OG0000245.24	OG0013512.2	OG0000738.19	OG0001000.24	OG0003012.0	OG0000320.0	OG0005465.0	OG0003944.0	OG0000411.0	OG0002222.0	OG0007722.2	OG0003326.0	OG0007822.0	OG0000060.0	OG0000026.45	OG0005817.0	OG0000905.14	OG0000483.0	OG0000435.0	OG0002298.4	OG0003890.6	OG0000204.2	OG0002822.4	OG0000779.1	OG0002938.0	OG0000012.918
-0.6384562020321349	-2.079478021209661	-0.9985580258260937	-0.43791635730384093	-0.5629853780150043	-0.24348904385984163	-1.1224913113285053	-0.9387076615217063	-1.1165355818976774	-1.1561769108731044	-1.2085609741275583	-0.36642929324206563	-1.205896101440252	-0.3237325917341102	-0.1413028099616662	0.42985695113365224	-1.1488006614067061	-0.9683225035492398	0.490672809713238	-0.7656213106623855	-0.664288089679538	-0.7138285488929806	-0.22095044716254147	-1.3284348738289469	-1.134793803412827	-0.17576167339628612
OG0002761.0	OG0004979.3	OG0002080.0	OG0000339.0	OG0002909.2	OG0005073.0	OG0000302.34	OG0004396.0	OG0000007.585	OG0000009.921	OG0000198.0	OG0004784.0	OG0000187.1	OG0002157.0	OG0001669.0	OG0006103.0	OG0013937.0	OG0005081.18	OG0000467.0	OG0003171.1	OG0000011.1	OG0000923.0	OG0000310.18	OG0006414.0	OG0004470.0	OG0005703.0
-0.45047867921036217	-1.3057883922321096	-0.8831029817117376	-0.2820878303555713	-0.9285118944158176	-1.0743043386911122	-0.896200256842332	-0.9762478641010051	-0.3949798469375905	-0.07263446472662155	-0.3989691306511904	-1.4239132758205997	-0.2067283455019175	-0.5576668766702485	-0.2819124160394832	-0.7878664924662442	-0.8298185422347496	-1.0409717810563062	-0.6353155180717711	-1.1867215954566879	0.5140970048942337	0.7399344890375401	-0.14082554413356455	-1.151682530163898	-1.189351252217354	-1.0634091701760615
OG0002577.26	OG0001609.10	OG0000349.0	OG0002615.8	OG0000426.5	OG0006882.0	OG0000200.0	OG0000042.314	OG0001062.24	OG0000661.3	OG0006211.0	OG0003647.3	OG0001239.26	OG0004494.1	OG0005430.1	OG0001344.0	OG0000074.1	OG0011422.0	OG0000192.0	OG0012483.0	OG0000431.12	OG0000015.773	OG0000007.976	OG0004433.4	OG0005899.0	OG0003385.20	OG0000045.0
-1.0107156402523292	-0.7027498788282933	-0.4111954329844497	-0.4878236908858586	-1.1811494391045665	-0.3755715232537282	-0.1934697107404345	-0.2813863010245155	-1.9862161845669004	-0.21675290262188346	-3.0588936890535683	-0.8507406345003772	-1.1449671027979205	-1.139235797371172	-1.1268955298759025	-1.314373758749089	0.46686200377591763	-1.8980810402889283	-0.7107557148433575	-1.3518106972818624	-0.3122226226036953	0.24744147114440776	-0.24982229440694287	-0.9853590531182468	-1.6556259667142674	-1.050801268104847	-0.2716005413289375
OG0001046.24	OG0008519.0	OG0008510.8	OG0001628.0	OG0000349.0	OG0003661.0	OG0000142.14	OG0005737.2	OG0006104.0	OG0003205.0	OG0000015.1	OG0018394.0	OG0009983.2	OG0001239.26	OG0006474.4	OG0005273.11	OG0003974.4	OG0000617.25	OG0002158.0	OG0000088.3	OG0002869.0	OG0002195.39	OG0002335.4	OG0000263.57	OG0000074.152	OG0000045.0	OG0000012.918
-0.4054514504496458	-2.301870442546109	-1.8809758968577257	-0.7473421358058826	-0.4111954329844497	-1.0072315692310758	-0.09557370739849257	-0.6581280793555995	-1.0445383960764985	-0.544140190613815	0.7040751643766956	-3.535164473702311	-0.9222101113563324	-1.1449671027979205	-0.8580441144163556	-1.6560805736318118	-0.6106534638375021	-0.5418280104074104	-0.5659723253364025	-0.11434754870041268	-1.309001920443092	-0.4453620361356415	-1.0368218438261088	0.818932344010497	-0.5625591756364571	-0.2716005413289375	-0.17576167339628612
OG0005237.0	OG0010513.2	OG0001032.24	OG0015224.0	OG0000429.0	OG0000860.24	OG0005849.2	OG0002408.0	OG0004061.2	OG0000318.0	OG0005213.22	OG0009038.2	OG0000002.1788	OG0005169.0	OG0002083.0	OG0000180.0	OG0000442.2	OG0000082.1	OG0004814.0	OG0000018.1	OG0002882.0	OG0007098.2	OG0006739.0	OG0000001.425	OG0002270.30	OG0002136.0	OG0000933.24
-1.195946441032647	-1.3751972347470527	-1.107181572204967	-1.8986188576449754	-0.28086037780067485	-1.542458237592193	-1.3540217245972157	-1.3959286763311392	-0.9197516699078797	-0.8614476248473515	-0.9951031567851525	-1.7216583413783577	0.2893623404769398	-1.5075827599241425	-0.3402580727822305	-0.15826835651750287	-0.22617242101930626	-0.853866171106625	-0.9753966328593433	-0.6106534638375021	-0.23463499245019467	-1.672082742581352	-1.1297339296040174	0.661840791305371	-0.27369190923451486	-0.8008773579863994	-0.3923264396509436
OG0000011.866	OG0000010.475	OG0004606.1	OG0000429.0	OG0007790.0	OG0003161.14	OG0002729.16	OG0005162.0	OG0001239.26	OG0001265.24	OG0000034.305	OG0006494.0	OG0001096.1	OG0000828.16	OG0005900.4	OG0000621.39	OG0000290.0	OG0004016.0	OG0000310.18	OG0002862.0	OG0004814.0	OG0000035.64	OG0003890.6	OG0006118.4	OG0006999.0	OG0000074.152
0.3951725059957788	0.007339046008161679	0.062259894470126094	-0.28086037780067485	-1.6402539530945293	-0.5525794954095031	-1.4134994447185751	-0.892446029710354	-1.1449671027979205	-1.541198058410986	-0.6588112275212595	-1.0871202418601957	-1.7725053491406988	-0.5756153284619034	-0.9688871591497508	-0.9953907467474107	-0.5907448533151622	-1.1228054528737617	-0.14082554413356455	-1.7612131404128835	-0.9753966328593433	0.0001442622910945383	-0.664288089679538	-1.0089725529993394	-1.8463243502027624	-0.5625591756364571
OG0005885.2	OG0007022.0	OG0002615.8	OG0005281.1	OG0001823.24	OG0000429.0	OG0006873.3	OG0001812.2	OG0010677.0	OG0001608.24	OG0000132.40	OG0006125.2	OG0000054.0	OG0001557.1	OG0002218.0	OG0008890.18	OG0000018.842	OG0007676.5	OG0000378.2	OG0001776.0	OG0001835.21	OG0000180.0	OG0000428.54	OG0000599.0	OG0000007.976	OG0000779.1	OG0005827.2
0.9687174738074495	-1.5294891648227245	-0.4878236908858586	-1.9384311507319976	-0.5437195184892749	-0.28086037780067485	-2.079478021209661	-1.4100448054815682	-2.5872726614083574	-0.3122226226036953	-0.12406270353362446	-0.9759640645444906	-0.11450372678347603	-0.8517817278458553	-0.6268251092468836	-0.35900896035609275	-0.48559996096338387	-1.9816506901211082	-1.1584293626044828	-0.923304098169617	-0.8780562664895988	-0.15826835651750287	-1.300448367476911	-0.9312604093276949	-0.24982229440694287	-1.3284348738289469	-0.9186603725480612
OG0007840.0	OG0006850.0	OG0002487.0	OG0001151.26	OG0005093.2	OG0003695.0	OG0000364.1	OG0000429.0	OG0000299.1	OG0000350.8	OG0004951.0	OG0008196.2	OG0005569.4	OG0002621.3	OG0000075.0	OG0004721.2	OG0016054.3	OG0000285.1	OG0001229.1	OG0000556.30	OG0006859.2	OG0000074.152	OG0000006.561	OG0000815.24	OG0000012.918	OG0008193.4
-1.277883762181341	-1.2601518973006725	-1.322649622804822	-1.352178966598703	-0.7838866415536987	-1.7393720918733013	-0.7065117976244923	-0.28086037780067485	-0.8820390472675833	-0.40144422667648927	-1.6144033039877546	-2.840629153339797	-0.4113872934862137	-0.5713215900517699	-0.44929630375211244	-2.424300420607812	-0.2416115345206477	-1.0528949484321255	-1.6679509162510255	-0.9793733494100422	-1.6808445421752973	-0.5625591756364571	-0.17266872938773947	-1.1661788622094176	-0.17576167339628612	-1.309001920443092
OG0003370.4	OG0012271.0	OG0000109.0	OG0016942.0	OG0000018.289	OG0011497.1	OG0000336.0	OG0000132.40	OG0002444.1	OG0000015.662	OG0001753.20	OG0000056.0	OG0000867.24	OG0000139.0	OG0012904.0	OG0000206.0	OG0000074.1	OG0001766.6	OG0005222.2	OG0006122.0	OG0009039.2	OG0002106.0	OG0006127.2	OG0006139.0	OG0001512.12	OG0000112.0	OG0004203.0
-0.779917739350753	-2.091725081520941	-0.30953820508128127	-0.046027091947825026	-0.18885782633069192	-1.1716933862243561	-0.4330387576855113	-0.12406270353362446	-0.18360509083087875	-0.1926450779423959	-0.6670343374140395	0.25229454120183664	-1.3118644115426648	-0.6077925010310296	-3.084364376569687	0.24865627000440324	0.46686200377591763	-0.5145731728297583	-1.6601784950766576	-1.065823218078184	-0.7963603059860149	-1.8180705623099334	-0.9882181405400853	-0.6783027547876463	-0.49960583358420474	-0.1919857109104024	-1.5112793471047163
OG0000245.24	OG0000011.866	OG0001018.1	OG0000749.2	OG0006000.0	OG0000801.24	OG0004599.4	OG0005501.1	OG0003924.0	OG0004678.12	OG0000062.12	OG0001020.31	OG0005750.0	OG0000001.1420	OG0008290.0	OG0005050.1	OG0010717.0	OG0002054.0	OG0006028.0	OG0000318.0	OG0002121.0	OG0000047.282	OG0000683.0	OG0002514.2	OG0005460.0	OG0000105.0	OG0002211.0
-0.6384562020321349	0.3951725059957788	-0.8823049573302454	-0.3830777578812987	-1.9345655540513669	-0.45502011674419607	-1.3015147923431765	-1.1500807813140215	-1.1196671113253598	-0.9762478641010051	-1.5538496598709068	-0.29583628054603456	-1.6042790867140473	-0.01727103870140411	-2.3883554566263383	-1.2618807112174235	-1.7529231680691826	-0.4835813583661318	-0.7039244250471122	-0.8614476248473515	-1.115597447016313	-0.4221724087637519	-0.10005101381032842	-1.164237581305309	-1.7065117976244923	0.3918776772778659	-0.77324487673018
OG0000837.0	OG0002761.0	OG0006443.2	OG0005664.4	OG0011914.6	OG0010734.0	OG0000102.0	OG0000046.1	OG0017893.0	OG0000589.0	OG0004245.1	OG0001557.1	OG0012965.0	OG0005315.0	OG0000056.0	OG0004069.4	OG0000632.24	OG0002175.0	OG0012994.0	OG0013992.0	OG0001204.24	OG0000169.16	OG0001795.0	OG0000263.57	OG0003037.24	OG0000323.43	OG0000054.0
0.21921499579542392	-0.45047867921036217	-1.5602173105240187	-1.5462453931483024	-1.6569902174456101	-1.5661859155419728	-0.012315322433239274	-0.4065984188743529	-1.4799549759601824	-0.7725053491406988	-1.7235628895637176	-0.8517817278458553	-0.4256562460799873	-1.6073528560357366	0.25229454120183664	-0.6069133449764688	-0.9072513144604762	-0.7590140959752614	-2.3147325934831584	-1.8267446169790276	-0.9697345571423307	-0.3176064889372687	-0.5540614627107339	0.818932344010497	-0.44772130900956375	-1.4647432890961618	-0.11450372678347603
OG0012773.4	OG0002909.2	OG0000109.0	OG0001289.1	OG0004353.1	OG0000294.0	OG0000092.1	OG0000001.1420	OG0007184.0	OG0001230.26	OG0001778.24	OG0007448.2	OG0001125.24	OG0012908.0	OG0005097.2	OG0001551.34	OG0000090.24	OG0000483.0	OG0003233.6	OG0001601.50	OG0000380.29	OG0003875.2	OG0000001.425	OG0004723.0	OG0005092.2	OG0000006.561
-1.37632039170599	-0.9285118944158176	-0.30953820508128127	-1.774971916745951	-0.21390553237095686	-0.5213905315954883	0.8123750005659496	-0.01727103870140411	-1.624599071093643	-0.938984225318372	0.4137023887821764	-1.3280726151852633	-1.3566055465201077	-2.492484413520771	-1.045431429247006	-1.3654996617640014	0.15328652099086262	-0.9683225035492398	-0.4414384681995431	-0.9274139529314037	-1.386091221203337	-1.8401125212694995	0.661840791305371	-1.7336032269754467	-1.7388904710906985	-0.17266872938773947
OG0000675.1	OG0002841.0	OG0000010.475	OG0000861.24	OG0006039.1	OG0000349.0	OG0001629.5	OG0000046.1	OG0003256.1	OG0003825.26	OG0000198.0	OG0018087.2	OG0000935.24	OG0000132.40	OG0006082.0	OG0007781.0	OG0002471.0	OG0005105.0	OG0005062.1	OG0001396.24	OG0007047.0	OG0000192.0	OG0000307.20	OG0002882.0	OG0004771.0	OG0004499.0	OG0000045.0
-1.4108117885091431	-0.4823715511330652	0.007339046008161679	-0.7195187256993765	-0.961563818343892	-0.4111954329844497	0.5783107928487263	-0.4065984188743529	-1.1985929816342817	-2.154570167148848	-0.3989691306511904	-2.100979090420583	-1.5955328032369107	-0.12406270353362446	-0.4367442285670112	-1.165207895235545	-1.4131151871478154	-1.5985879746361915	-0.9925174236687941	-1.0825300533208069	-2.965784284662087	-0.7107557148433575	-0.13336891930599895	-0.23463499245019467	-0.34960305333021074	-0.11544115049474857	-0.2716005413289375
OG0004004.10	OG0005073.0	OG0000092.1	OG0001093.24	OG0000142.14	OG0006335.0	OG0008571.0	OG0000056.0	OG0000467.0	OG0006474.4	OG0000318.0	OG0004627.2	OG0000828.16	OG0006800.0	OG0000923.0	OG0013173.1	OG0006837.2	OG0013022.0	OG0002140.0	OG0005659.6	OG0000176.0	OG0002718.4	OG0006415.0	OG0002098.0	OG0000841.0	OG0000015.773	OG0000012.918
-0.7888631730177249	-1.0743043386911122	0.8123750005659496	-1.0303245368567977	-0.09557370739849257	-1.234465253637023	-0.6908238125214856	0.25229454120183664	-0.6353155180717711	-0.8580441144163556	-0.8614476248473515	-1.2169205701263885	-0.5756153284619034	-0.9315355490330943	0.7399344890375401	-3.22431729826094	-1.1379652600447674	-1.104076998076231	-1.0791731728110858	-1.9301603749313658	-0.33387969740416884	-0.7053351439087583	-0.6891945689368271	-1.0206331138782188	-0.7086321957146922	0.24744147114440776	-0.17576167339628612
OG0004809.0	OG0000615.1	OG0004369.0	OG0000102.0	OG0001170.24	OG0009944.3	OG0008481.0	OG0003514.0	OG0000026.45	OG0004697.0	OG0000018.842	OG0000239.0	OG0000653.1	OG0000764.26	OG0001197.24	OG0020584.0	OG0000002.1788	OG0009869.0	OG0000048.382	OG0000442.2	OG0002862.0	OG0000263.57	OG0000599.0	OG0004724.0	OG0011976.0	OG0000010.2	OG0006197.0
-1.7379277116015897	-1.113098732313508	-1.6456606866214725	-0.012315322433239274	-1.1472021071812288	-3.5935286362163	-1.4953287646142606	-0.8839014477634204	-0.1413028099616662	-1.001154617941492	-0.48559996096338387	-0.4494932990471394	-0.9021195659480868	-2.0180012584066676	-1.1883645691462565	-3.5650755916241863	0.2893623404769398	-1.9274139529314038	-0.7607241741174424	-0.22617242101930626	-1.7612131404128835	0.818932344010497	-0.9312604093276949	-1.4254624786979369	-1.5166356392866507	-0.3431833203506802	-1.5911794654711495
OG0002169.0	OG0000032.252	OG0006844.0	OG0007178.0	OG0002108.0	OG0000214.0	OG0001604.2	OG0010701.0	OG0005686.0	OG0000420.0	OG0002764.20	OG0000600.26	OG0000579.24	OG0008450.4	OG0000139.0	OG0003176.17	OG0000011.1	OG0005621.0	OG0013543.0	OG0004257.24	OG0006124.2	OG0007223.2	OG0000176.0	OG0000435.0	OG0000112.0	OG0001483.24
-0.6929212614601847	-0.3082871842179762	-1.3029379195026087	-1.0843643765696869	-0.2954821145835615	-0.42953706897395905	-0.46494240510515766	-1.4811627575634883	-1.630393929968162	-0.49045616203966397	-1.0215114670504886	-1.1446480989180383	-1.0433485444289392	-2.310432456049533	-0.6077925010310296	-0.6852454777188786	0.5140970048942337	-2.3233715117570313	-2.2122332300614325	-1.4924844135207713	-1.0724827538015236	-1.2722973271627618	-0.33387969740416884	0.490672809713238	-0.1919857109104024	-1.5691795034802287
OG0001516.22	OG0000011.866	OG0000283.1	OG0005431.0	OG0001956.0	OG0000010.475	OG0000294.0	OG0000995.122	OG0000102.0	OG0013081.0	OG0009013.2	OG0003118.5	OG0004939.0	OG0000958.3	OG0007724.0	OG0000226.4	OG0010621.0	OG0000923.0	OG0000088.3	OG0000090.24	OG0000310.18	OG0005494.2	OG0001179.24	OG0002897.1	OG0004219.22	OG0001954.0
-1.3729535406075914	0.3951725059957788	-1.3100746891435733	-1.2604974943896143	-2.7888631730177247	0.007339046008161679	-0.5213905315954883	-1.8937857039090322	-0.012315322433239274	-1.273343137314313	-0.8585672090707045	-1.2172559636048	-0.19958668736124272	-0.7288133984027473	-1.104076998076231	-0.3170671972827844	-1.8241880062782692	0.7399344890375401	-0.11434754870041268	0.15328652099086262	-0.14082554413356455	-0.7388904710906985	-1.058593158890855	-0.36123105558305013	-2.1134108350818184	-0.7485535684414182
OG0005237.0	OG0003241.1	OG0009086.4	OG0000598.0	OG0003755.0	OG0000081.1	OG0001370.24	OG0009271.0	OG0000407.1	OG0000979.1	OG0000494.1	OG0002713.0	OG0000710.0	OG0000318.0	OG0000000.3460	OG0000018.842	OG0004605.20	OG0002852.4	OG0016261.0	OG0005232.0	OG0001667.0	OG0001479.24	OG0000007.976	OG0001911.24	OG0000054.0
-1.195946441032647	0.29172142045789135	-0.34263438444163297	-0.1898448469216803	-1.0537931709624722	-0.890037746601182	-1.6082322800440032	-1.1850804906944814	-0.9610020212024905	-0.7326439882161124	-0.5602173105240185	-1.8160371651574052	-0.6517675807607293	-0.8614476248473515	-1.0534937013109786	-0.48559996096338387	-1.774971916745951	-0.832128291970839	0.292899515444873	-1.5462453931483024	-0.4741315765598182	-1.2155797753822157	-0.24982229440694287	-0.6504082574432482	-0.11450372678347603
OG0004979.3	OG0000032.252	OG0000125.49	OG0004353.1	OG0005940.0	OG0000187.1	OG0002752.1	OG0000453.2	OG0000127.0	OG0000054.0	OG0000994.2	OG0004330.0	OG0003176.17	OG0004569.0	OG0000869.2	OG0012233.4	OG0000697.0	OG0003628.6	OG0005333.0	OG0002335.4	OG0005134.0	OG0007751.0	OG0000074.152	OG0000112.0	OG0001078.24	OG0000917.1
-1.3057883922321096	-0.3082871842179762	0.8343876146053895	-0.21390553237095686	-0.7004036512159048	-0.2067283455019175	-1.564051435139466	-0.9298854973386719	-0.41676977290008077	-0.11450372678347603	-0.9948156241402767	-1.1697446758323171	-0.6852454777188786	-0.989363363891263	-0.6755349936684583	-2.037413961643117	-0.6208226711091924	-1.7744782657433966	-0.4275953526096685	-1.0368218438261088	-0.9567955014348324	-0.8246989660997565	-0.5625591756364571	-0.1919857109104024	-2.0661252582846443	-1.9753966328593433
OG0000121.128	OG0000320.0	OG0000018.289	OG0001829.22	OG0005157.0	OG0000265.0	OG0004245.1	OG0012912.2	OG0001425.1	OG0007950.0	OG0000929.1	OG0000018.842	OG0004183.0	OG0006805.0	OG0011419.0	OG0000272.36	OG0004867.1	OG0002858.1	OG0000702.24	OG0000677.1	OG0006027.0	OG0001217.1	OG0005460.0	OG0009953.0	OG0000748.0	OG0000112.0	OG0000045.0
-0.9810810178369486	-0.24348904385984163	-0.18885782633069192	-0.6197138438769217	-0.5593666648384727	-1.097270360766624	-1.7235628895637176	-3.3854880247731476	-1.2273541969073074	-1.5898760215870733	-1.5428785420499038	-0.48559996096338387	-0.7326439882161124	-1.549620119928959	-0.07810671040588053	-1.0174170530774094	-1.4699292577749161	-1.3606752108291549	-1.9674759343078005	-1.0715728231243147	-1.7437139294149082	-1.2399068255418602	-1.7065117976244923	-1.0773454339168487	-0.7784322114615907	-0.1919857109104024	-0.2716005413289375
OG0004225.4	OG0005944.0	OG0000604.1	OG0001749.32	OG0005626.0	OG0001617.48	OG0002146.0	OG0000183.0	OG0000007.585	OG0007509.2	OG0000196.0	OG0000923.0	OG0000232.19	OG0005400.0	OG0006379.10	OG0012909.2	OG0000310.18	OG0000391.20	OG0007025.0	OG0001461.24	OG0001958.0	OG0002028.0	OG0005311.3	OG0004808.0	OG0002270.30	OG0000045.0	OG0000012.918
