OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0001566.2
-0.512925319948276	-1.4131151871478154	-1.1587514286937521	-1.3375210295767486	-0.9018499789079885	-1.2039006722965686	-1.0540927027897475
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0000409.24	OG0000704.0	OG0004027.1
-0.8583056380354691	-1.1854085623368023	-0.5428785420499038	-0.7715199016700826	0.10447085776291738	-1.0273808609918476	-1.2199419221016254
-0.7223722523409946	-0.17266872938773947	0.818932344010497	-2.0643139648378215	-1.573896299314951	-0.7133553789835607	-0.2164176260596288	0.15587873270414274
OG0001203.24	OG0011159.0	OG0000209.2	OG0014662.0	OG0000062.12	OG0000082.1	OG0000372.92	OG0005659.6
-1.4375255419036752	-2.1090475285429777	-0.3081085554749895	-1.40621599473934	-1.5538496598709068	-0.853866171106625	-0.7916076002093239	-1.9301603749313658
OG0001271.1	OG0000006.561	OG0006436.0	OG0010512.0	OG0000892.1	OG0003382.0	OG0000272.36	OG0000524.1
-1.4477213090095638	-0.17266872938773947	-1.148161027150656	-2.4281775931667964	-0.6665762662748083	-0.6610907271910786	-1.0174170530774094	-0.6492764655589778
OG0017903.2	OG0000955.28	OG0000198.0	OG0000056.0	OG0001122.1	OG0000463.51	OG0004168.24	OG0007187.0
-2.5538496598709073	-1.1379652600447674	-0.3989691306511904	0.25229454120183664	-1.6095524220066895	-1.4254624786979369	-1.4795526066810747	-1.5812163614882615
OG0004256.2	OG0000032.252	OG0001243.24	OG0010631.0	OG0000711.2	OG0002113.0	OG0000611.0
-0.6113144925046861	-0.3082871842179762	-1.2436598477481473	-0.8583056380354691	-0.05304461335688118	-0.8295621314918924	-1.3061450976464348
OG0005582.1	OG0000010.475	OG0007539.0	OG0001243.24	OG0001365.24	OG0000209.146	OG0000154.2	OG0008258.0
-0.9827907099677768	0.007339046008161679	-1.4941090702700428	-1.2436598477481473	-0.9450820808710421	-0.4077462998850927	-0.6887294085133586	-1.2820878303555712
OG0001161.24	OG0000088.3	OG0008204.0	OG0007348.0	OG0001502.26	OG0001146.1	OG0000082.1
-1.2649978065046903	-0.11434754870041268	-0.8173077024838097	-0.6064739677716448	-2.2155797753822157	-1.5678957765313228	-0.853866171106625
OG0007549.0	OG0000006.561	OG0001813.8	OG0000463.51	OG0000290.0	OG0014542.4	OG0001167.24	OG0006963.0
-1.0359341225135819	-0.17266872938773947	-0.6604064990346017	-1.4254624786979369	-0.5907448533151622	-2.829305766312917	-1.4779442508390357	-0.4811627575634881
OG0001366.26	OG0000011.1	OG0009024.0	OG0004459.0	OG0002127.0	OG0000046.1	OG0016933.0	OG0001770.0
-1.2824387229855119	0.5140970048942337	-2.2474226585237327	-1.7621915704543796	-0.799872345726398	-0.4065984188743529	-2.5631985264295	-0.6989977439671857
OG0000001.1420	OG0000909.26	OG0001075.1	OG0009869.0	OG0000125.49	OG0008061.3	OG0005701.4	OG0000771.24
-0.01727103870140411	-1.288416992526039	-1.2958362805460346	-1.9274139529314038	0.8343876146053895	-3.1090475285429777	-1.6748438822584089	-0.707925050022458
OG0006231.0	OG0001238.24	OG0000359.28	OG0002073.0	OG0013912.6	OG0001275.26	OG0006392.0	OG0000082.1
-1.6633738342364643	-0.8293057663129167	-0.5942254220501242	-0.6707041518974848	-3.381122376720618	-1.7695510237924936	-0.9539979534554796	-0.853866171106625
OG0001405.24	OG0001592.24	OG0001226.24	OG0003661.0	OG0004285.1	OG0006579.6	OG0000407.1	OG0000018.289
-1.037413961643117	-1.1635910677202619	-1.2719488921795712	-1.0072315692310758	-0.8549095231975802	-2.374074951500346	-0.9610020212024905	-0.18885782633069192
OG0000054.0	OG0000364.1	OG0000004.778	OG0004609.0	OG0002214.0	OG0008497.0	OG0000892.1	OG0001048.24
-0.11450372678347603	-0.7065117976244923	-2.458782551897963	-0.8277685311745187	-0.5193212612452015	-1.405069330187608	-0.6665762662748083	-1.2873602020691484
OG0000548.29	OG0000257.0	OG0000012.918	OG0008209.0	OG0001459.24	OG0005027.0	OG0001540.26	OG0020416.0
-1.3614163847683378	0.0001442622910945383	-0.17576167339628612	-1.6952553422813692	-1.8079321155203498	-1.478748204630188	-0.8701235391668696	-2.353284338922646
OG0005703.0	OG0000935.24	OG0000018.1	OG0000010.475	OG0001014.26	OG0002233.0	OG0006851.4	OG0011986.10
-1.0634091701760615	-1.5955328032369107	-0.6106534638375021	0.007339046008161679	-1.5842413334775023	-1.145924537878446	-1.088653555896428	-1.911586990273275
OG0000223.2	OG0011912.1	OG0000010.475	OG0001014.26	OG0000987.19	OG0003989.2	OG0002170.0	OG0007451.0
-0.3170671972827844	-2.2276920250415966	0.007339046008161679	-1.5842413334775023	-0.02958805461052695	-1.1946249891052318	0.15587873270414274	-1.6588112275212596
OG0000026.45	OG0001915.0	OG0002080.0	OG0003171.1	OG0014643.4	OG0001157.1	OG0010645.2	OG0000204.2
-0.1413028099616662	-1.0908029370083125	-0.8831029817117376	-1.1867215954566879	-1.3219280948873626	-1.0394882898809756	-1.4123469789076786	-0.7138285488929806
OG0009080.2	OG0000294.0	OG0001252.1	OG0005850.4	OG0000038.0	OG0001234.24	OG0006984.0	OG0001938.0
-1.5361683204603513	-0.5213905315954883	-0.705570397890672	-1.479150349591925	-0.5428785420499038	0.7858434550071156	-2.25773503295987	-0.9029286294560968
OG0002088.0	OG0000359.28	OG0000012.918	OG0007526.0	OG0009201.0	OG0000867.24	OG0009881.4	OG0001420.22
-0.7133553789835607	-0.5942254220501242	-0.17576167339628612	-0.9632505235721317	-1.509224518327078	-1.3118644115426648	-1.6250440040319079	0.5647195944430954
OG0000054.0	OG0001379.1	OG0013967.0	OG0005639.0	OG0000261.0	OG0006669.3	OG0002006.0	OG0001337.24
-0.11450372678347603	-0.025617534179270093	-1.8432150924456403	-0.6458864075076233	-0.7946074870103151	-1.5994620704162712	-1.1886933885302189	-1.0631076980109506
OG0000026.45	OG0004608.0	OG0002231.0	OG0000709.10	OG0020482.0	OG0000584.0	OG0001149.24	OG0006332.2
-0.1413028099616662	-0.7715199016700826	-1.4386983058546305	-0.4967530458506262	-2.620600837474422	1.6572284011610958	-1.7083964419694353	-0.798868033092113
OG0001846.4	OG0002150.0	OG0000038.0	OG0004504.4	OG0014858.0	OG0001328.24	OG0000290.0	OG0011675.5
-0.7166708319483586	-0.4667356869282084	-0.5428785420499038	-2.6366606883705206	-0.3636421939641049	-1.3872228947148009	-0.5907448533151622	-3.1202942337177118
OG0000944.28	OG0000214.0	OG0001216.24	OG0000011.1	OG0005966.0	OG0014011.2	OG0002100.0	OG0004347.0
-0.6416037380433459	-0.42953706897395905	-1.049904905826314	0.5140970048942337	-0.6840860345632576	-2.1831136259850807	-1.233108061588777	-0.9646576192078029
OG0004362.4	OG0001330.24	OG0002308.0	OG0000561.24	OG0001426.2	OG0000007.976	OG0000320.0	OG0000004.816
-1.2172559636048	-0.23276896297612443	-0.6060347243397574	-1.2429767534925404	-1.0344557997682955	-0.24982229440694287	-0.24348904385984163	-1.6579004351672157
OG0007008.1	OG0001936.0	OG0001519.24	OG0000302.34	OG0005696.4	OG0009877.2	OG0000018.289	OG0001491.1
-2.4181185363086657	-1.478346171733372	-0.9865020082510226	-0.896200256842332	-1.7833899312575583	-1.4445764684381	-0.18885782633069192	-1.2845458728842822
OG0000294.0	OG0000001.2052	OG0020478.0	OG0005617.0	OG0002012.0	OG0002036.0	OG0000082.1	OG0000911.3
-0.5213905315954883	-1.5357499660885958	-2.824188006278269	-1.830331500476914	-1.349970759472354	-0.5435092284166207	-0.853866171106625	-1.2022399203681666
OG0008569.0	OG0000120.105	OG0012733.0	OG0000011.1	OG0002231.0	OG0008655.4	OG0000727.24	OG0000724.26
-1.2412704315421375	-0.5544851616978876	-1.3477659270907627	0.5140970048942337	-1.4386983058546305	-1.677148875624409	-0.7715199016700826	-0.320846479161911
OG0005703.0	OG0000010.475	OG0000750.0	OG0000962.24	OG0003752.2	OG0000634.26	OG0002141.0
-1.0634091701760615	0.007339046008161679	-0.6604064990346017	-1.3433663454116158	-0.5199417307727449	-1.2747387311749092	-1.1256358091751368
OG0000977.1	OG0000006.561	OG0000403.25	OG0004872.6	OG0000732.24	OG0005867.0	OG0001586.3
-0.49960583358420474	-0.17266872938773947	-0.4597742994044606	-0.09989639240287225	-0.6771488756244091	-1.2371834740188945	-0.8471027128010276
OG0000176.0	OG0002013.0	OG0000011.1	OG0002214.0	OG0005151.29	OG0007566.10	OG0000524.1	OG0003044.18
-0.33387969740416884	-0.010134377133713174	0.5140970048942337	-0.5193212612452015	-2.1202942337177118	-2.0017322736212373	-0.6492764655589778	-0.9930916306578225
OG0001002.25	OG0014755.1	OG0005765.0	OG0000056.0	OG0007156.2	OG0001801.0	OG0000392.72	OG0000204.2
-1.2375236119530149	-2.0344557997682955	-1.4623560380701153	0.25229454120183664	-1.3982084161379738	-0.9384311507319972	-1.4779442508390357	-0.7138285488929806
OG0000001.1420	OG0000264.1	OG0000042.23	OG0010581.0	OG0001091.2	OG0001298.24	OG0003561.0	OG0020532.0
-0.01727103870140411	-1.4799549759601824	-1.0843643765696869	-0.7480688733114131	-1.8577826381961766	-2.5872726614083574	-0.5568177330077777	-1.7008725915876228
OG0000081.1	OG0002106.0	OG0012450.4	OG0000482.64	OG0001070.26	OG0000082.1	OG0006099.2	OG0007259.2
-0.890037746601182	-1.8180705623099334	-2.5006260549978325	-0.49899404685899096	-0.8208711712278477	-0.853866171106625	-1.9290611786565626	-0.8346990250831352
OG0002001.0	OG0004025.11	OG0000667.13	OG0001159.0	OG0000048.122	OG0000012.918	OG0013965.2	OG0010620.1
-0.5224262808257668	-1.5141610331209452	-0.3174267026524216	-0.7437139294149082	-0.7157227819448722	-0.17576167339628612	-1.4305089080412838	-0.8711787193498661
OG0000038.0	OG0000359.28	OG0000066.328	OG0002143.0	OG0011984.6	OG0000579.24	OG0005604.1	OG0002141.0
-0.5428785420499038	-0.5942254220501242	-1.121549296903336	-0.5857562012813124	-1.9230305236848892	-1.0433485444289392	-1.0403782015207206	-1.1256358091751368
OG0000054.0	OG0000294.0	OG0003037.24	OG0001332.24	OG0002143.0	OG0013045.1	OG0014522.0	OG0002045.0
-0.11450372678347603	-0.5213905315954883	-0.44772130900956375	-1.0424567992428948	-0.5857562012813124	-1.3104324560495328	-2.9759640645444905	-1.1558554189406567
OG0008603.0	OG0016206.4	OG0002145.0	OG0000032.252	OG0000820.2	OG0007125.8	OG0000431.12	OG0001819.6
-1.9833610578862109	-1.3320624720210756	-0.512513650651464	-0.3082871842179762	-0.6833908156721769	-1.8484009177306033	-0.3122226226036953	-0.496142467422571
OG0000012.918	OG0000397.30	OG0001240.26	OG0011270.0	OG0001044.24	OG0000256.24	OG0007809.2
-0.17576167339628612	-1.140189435198705	-1.2546335734188303	-0.8203615650618676	-0.4874191213260316	-0.250165425587271	-1.7408179196618128
OG0001419.3	OG0000006.561	OG0003039.0	OG0020466.0	OG0005530.6	OG0002007.0	OG0000209.146	OG0000276.72
-1.0914176345211863	-0.17266872938773947	-1.222296244872902	-3.038598926835721	-0.9514847900660605	-1.0522964439469233	-0.4077462998850927	-0.8999642788381562
OG0000026.45	OG0017889.0	OG0000034.305	OG0001217.1	OG0009815.0	OG0001562.24	OG0000392.72	OG0006442.2
-0.1413028099616662	-1.743230857238659	-0.6588112275212595	-1.2399068255418602	-1.1206078971695157	-1.1847524936393254	-1.4779442508390357	-2.2082275957226343
OG0000006.561	OG0001258.24	OG0001371.24	OG0004823.2	OG0002155.0	OG0007854.4	OG0007440.0	OG0000206.0
-0.17266872938773947	-2.0825300533208067	-1.1000510138103283	-0.9905094970525475	-1.5311560570253626	-1.9708651959469772	-1.633076351021482	0.24865627000440324
OG0002708.0	OG0000944.28	OG0001377.24	OG0000813.1	OG0011587.0	OG0000018.289	OG0005281.1	OG0000320.0
-0.4324545523562533	-0.6416037380433459	-0.8873665830147547	-0.9075219127996152	-1.5311560570253626	-0.18885782633069192	-1.9384311507319976	-0.24348904385984163
OG0001215.24	OG0000001.1420	OG0003989.2	OG0016862.2	OG0000263.57	OG0000280.1	OG0000738.19	OG0001432.24
-0.61285807160283	-0.01727103870140411	-1.1946249891052318	-2.9748294242650943	0.818932344010497	-1.5517333399360451	-0.9985580258260937	-1.8714426350262425
OG0001154.24	OG0006024.0	OG0000279.0	OG0000038.0	OG0002252.0	OG0001437.24	OG0014736.2	OG0000207.240
-1.7307274219549862	-1.4839848529963353	-0.7006381023484414	-0.5428785420499038	-0.9700171337842857	-1.2536012334528568	-1.8124856018071838	-1.037413961643117
OG0005622.0	OG0000188.1	OG0001246.24	OG0011569.1	OG0005957.0	OG0000007.976	OG0001182.24	OG0000930.24
-3.010424979419093	-0.09449505685038438	-0.9711479941525065	-2.858305638035469	-1.088653555896428	-0.24982229440694287	-1.0991235338421013	-0.9205706849970848
OG0014768.4	OG0004348.1	OG0003333.28	OG0001778.24	OG0001348.24	OG0001100.24	OG0000599.0	OG0000082.1
-1.8216359181531967	-0.45997273074249273	-1.3284348738289469	0.4137023887821764	-0.9736956756480915	-1.100669665209555	-0.9312604093276949	-0.853866171106625
OG0001271.1	OG0008525.0	OG0000409.24	OG0008287.4	OG0000441.96	OG0002146.0	OG0005426.10	OG0000002.1788
-1.4477213090095638	-0.7292916662807851	0.10447085776291738	-2.9434164716336326	-1.2440015162022935	-0.8491804017878668	-1.028263333263764	0.2893623404769398
OG0007962.0	OG0000010.475	OG0003761.0	OG0017891.0	OG0000976.24	OG0000770.1	OG0000272.36	OG0000739.15
-1.40621599473934	0.007339046008161679	-1.3481331652347563	-3.441595206212722	-0.8377899636856931	-0.6538089702009304	-1.0174170530774094	-0.807679564965501
OG0001277.24	OG0007202.0	OG0000261.0	OG0001160.24	OG0002045.0	OG0006669.3	OG0000002.1788	OG0006733.0
-1.8099541131055612	-0.9498117766885221	-0.7946074870103151	-1.343732465205711	-1.1558554189406567	-1.5994620704162712	0.2893623404769398	-0.7759597257820698
OG0001536.0	OG0005878.30	OG0007427.0	OG0002913.0	OG0000409.24	OG0000018.289	OG0001562.24	OG0001412.1
-0.6371093573341396	-2.950090477556942	-1.718806225047366	-0.9751130006868205	0.10447085776291738	-0.18885782633069192	-1.1847524936393254	-1.1181004969452384
OG0013489.2	OG0007509.2	OG0001447.24	OG0020523.0	OG0001351.24	OG0000082.1	OG0000165.49	OG0000256.24
-1.1700692781603574	-0.24468509595490198	-0.43869830585463065	-1.9669118306678126	-0.8305880480086453	-0.853866171106625	-0.7636604608316264	-0.250165425587271
OG0000054.0	OG0001280.24	OG0001541.1	OG0000230.58	OG0000504.24	OG0013957.4	OG0003512.4	OG0005576.4
-0.11450372678347603	-1.3518106972818624	-0.3289784324065124	-0.15136203809529378	-0.9719967215272475	-2.67853364140747	-1.1694201465224594	-0.8807102316252489
OG0007764.1	OG0001179.24	OG0000038.0	OG0001414.24	OG0007817.0	OG0000391.20	OG0002092.0
-1.4719288354212647	-1.058593158890855	-0.5428785420499038	0.12446048627433613	-1.8788519435246895	-0.35328433892264566	-1.6730025354342413
OG0000833.0	OG0002156.0	OG0000038.0	OG0013915.4	OG0006175.0	OG0000749.2	OG0002038.0
-1.1275258029487878	-1.0127519074088478	-0.5428785420499038	-3.038598926835721	-1.2348047512361633	-0.3830777578812987	-0.7280962937367248
OG0017903.2	OG0000619.52	OG0000032.252	OG0006020.0	OG0005701.4	OG0001095.25	OG0000338.41	OG0000876.20
-2.5538496598709073	-0.874084450525277	-0.3082871842179762	-1.0825300533208069	-1.6748438822584089	-0.25980638297956504	0.7966808083669082	-0.718331420027155
OG0001280.24	OG0004256.2	OG0000214.0	OG0000032.252	OG0002159.0	OG0006140.0	OG0009214.0	OG0000801.24
-1.3518106972818624	-0.6113144925046861	-0.42953706897395905	-0.3082871842179762	-0.521804742060834	-0.7386497209790194	-1.1523237279704035	-0.45502011674419607
OG0001892.0	OG0000056.0	OG0002213.0	OG0000750.0	OG0002069.0	OG0003375.2	OG0011401.0	OG0011360.2
-0.8414044484991035	0.25229454120183664	-0.8229113978940324	-0.6604064990346017	-0.5114849910421879	-0.9045481189143395	-0.8849667570537599	-4.2498909141144825
OG0001439.24	OG0007183.2	OG0000010.475	OG0001454.24	OG0001351.24	OG0013542.6	OG0000599.0	OG0007451.0
-0.30489701435952116	-0.8809758968577254	0.007339046008161679	-1.7754657367202709	-0.8305880480086453	-1.704629612046516	-0.9312604093276949	-1.6588112275212596
OG0015285.2	OG0005276.0	OG0000088.3	OG0000010.475	OG0000796.20	OG0001963.0	OG0006393.0	OG0000323.43
-2.8099541131055616	-1.4892405784478304	-0.11434754870041268	0.007339046008161679	-1.5602173105240187	-0.6501818280241396	-1.6707041518974848	-1.4647432890961618
OG0005690.0	OG0000011.1	OG0001406.24	OG0001123.1	OG0001987.0	OG0004207.12	OG0014587.2	OG0000062.12
-2.100360306348953	0.5140970048942337	-1.5100460986686943	-1.5249151170512174	-1.0472191556726504	-1.3219280948873626	-1.4619585466663363	-1.5538496598709068
OG0000006.561	OG0002163.0	OG0008977.6	OG0008640.19	OG0000272.36	OG0001455.24	OG0005852.2	OG0002002.0
-0.17266872938773947	-0.9495331296493381	-2.306145097646435	-13.287712379549449	-1.0174170530774094	-1.5881399262621803	-2.270207978440035	-1.3496030533302108
OG0001367.24	OG0001066.26	OG0000011.1	OG0001458.24	OG0007538.2	OG0004042.0	OG0000320.0	OG0011278.4
-1.1733193246821423	-1.045431429247006	0.5140970048942337	-0.9523220248555244	-1.5153978056277968	-0.5771211610426934	-0.24348904385984163	-2.6896598793878495
OG0000002.763	OG0001349.1	OG0002165.0	OG0005949.0	OG0008586.0	OG0000847.24	OG0000002.1788
-0.7257085158978973	-1.3168874781868323	-0.9965416802275889	-1.101907764440992	-1.8079321155203498	-1.50635266602479	0.2893623404769398
OG0000911.3	OG0000927.0	OG0000032.252	OG0004865.2	OG0005953.0	OG0000154.2	OG0000562.7	OG0020425.0
-1.2022399203681666	-0.7242777438392516	-0.3082871842179762	-0.2164176260596288	-0.6431800849240055	-0.6887294085133586	-1.3951695629008973	-1.7670936989931694
OG0000054.0	OG0007549.0	OG0001371.24	OG0003552.0	OG0000188.1	OG0001267.24	OG0015375.2	OG0002091.0
-0.11450372678347603	-1.0359341225135819	-1.1000510138103283	-1.0525956651531994	-0.09449505685038438	-1.088653555896428	-2.4965494909944312	-0.5944432366562431
OG0012990.0	OG0000006.561	OG0001196.1	OG0000048.122	OG0005847.4	OG0000397.30	OG0000854.30
-1.2719488921795712	-0.17266872938773947	-1.25773503295987	-0.7157227819448722	-1.0445383960764985	-1.140189435198705	-0.526784565929603
OG0001316.24	OG0003037.24	OG0001540.26	OG0005146.0	OG0000018.289	OG0001233.24	OG0000062.12	OG0010599.12
-0.7451641172142369	-0.44772130900956375	-0.8701235391668696	-1.427401324629968	-0.18885782633069192	-1.22431729826094	-1.5538496598709068	-3.8176636535381228
OG0002039.0	OG0000011.1	OG0007180.0	OG0000727.24	OG0000302.34	OG0007167.0	OG0010995.2	OG0002090.0
-0.5784131268372943	0.5140970048942337	-1.8504804785099709	-0.7715199016700826	-0.896200256842332	-1.3658714424749592	-1.873555700275309	-0.5788440393377765
OG0001567.1	OG0001305.24	OG0004608.0	OG0006313.0	OG0006299.9	OG0000082.1	OG0000246.0	OG0000611.0
-1.190009416024795	-1.2754370346933293	-0.7715199016700826	-1.626379626754263	-3.2082275957226343	-0.853866171106625	-0.5324074912870507	-1.3061450976464348
OG0000001.1420	OG0001252.1	OG0000993.25	OG0006194.0	OG0003375.2	OG0015185.2	OG0002312.0	OG0000062.12
-0.01727103870140411	-0.705570397890672	-0.9373256372366076	-1.449690321244904	-0.9045481189143395	-1.4540316308947074	-1.4414384681995431	-1.5538496598709068
OG0001472.0	OG0001139.24	OG0006377.0	OG0012995.0	OG0000034.305	OG0013477.2	OG0002170.0	OG0000007.976
-0.6259342817774622	-1.3789444967002604	-0.5663995373741375	-2.5079930244060455	-0.6588112275212595	-1.1837689496578923	0.15587873270414274	-0.24982229440694287
OG0005691.3	OG0000214.0	OG0000228.35	OG0001091.2	OG0008246.0	OG0001598.16	OG0000018.289	OG0001819.6
-1.0180012584066676	-0.42953706897395905	-2.5916142085935863	-1.8577826381961766	-2.7112280327525977	-1.4398720239187364	-0.18885782633069192	-0.496142467422571
OG0000032.86	OG0000516.6	OG0000002.1788	OG0008224.0	OG0003610.0	OG0005742.0	OG0000801.24	OG0000285.1
-1.3451978742102095	-0.3593790719643024	0.2893623404769398	-2.8303315004769143	-0.5247075499634715	-1.6943212567577124	-0.45502011674419607	-1.0528949484321255
OG0000026.45	OG0002310.20	OG0001406.24	OG0011428.8	OG0000482.64	OG0001004.1	OG0000175.4	OG0011325.0
-0.1413028099616662	-0.8334130859295501	-1.5100460986686943	-2.072786191607015	-0.49899404685899096	-0.07400058144377693	-0.9548366483967755	-1.554273296650016
OG0002218.0	OG0002093.0	OG0000420.0	OG0000603.1	OG0006964.0	OG0000018.289	OG0002401.1
-0.6268251092468836	-1.0525956651531994	-0.49045616203966397	-1.0294408032665983	-1.549620119928959	-0.18885782633069192	-1.077649896309218
OG0001162.22	OG0000006.561	OG0005829.2	OG0007076.0	OG0000409.24	OG0017988.2	OG0001426.2	OG0002132.0
-0.5378429521526054	-0.17266872938773947	-0.8300749985576876	-0.965784284662087	0.10447085776291738	-1.7883647466728505	-1.0344557997682955	-0.9517638143471524
OG0000147.0	OG0006805.0	OG0000001.1420	OG0002292.0	OG0005993.0	OG0000677.1	OG0001391.24
-1.5803532474685666	-1.549620119928959	-0.01727103870140411	-0.6434054180038683	-0.9638131971521541	-1.0715728231243147	-1.7715199016700827
OG0007609.0	OG0001448.24	OG0002155.0	OG0000011.1	OG0007781.0	OG0000901.0	OG0006008.0	OG0000320.0
-0.6574452545226798	-0.703219582573575	-1.5311560570253626	0.5140970048942337	-1.165207895235545	-0.588573754273535	-2.3718330007136763	-0.24348904385984163
OG0000176.0	OG0002085.0	OG0003610.0	OG0011170.0	OG0000973.2	OG0000012.918	OG0002154.0	OG0019387.0
-0.33387969740416884	-0.15184280290092764	-0.5247075499634715	-1.5649048483799028	-0.6407037411078027	-0.17576167339628612	-0.7319249774656762	-1.0433485444289392
OG0000056.0	OG0000441.1	OG0000750.0	OG0001435.1	OG0000727.24	OG0007525.0	OG0020428.0	OG0001084.24
0.25229454120183664	-2.9170249727422317	-0.6604064990346017	-1.0200478420483303	-0.7715199016700826	-0.6344194341666346	-1.5399389790226587	-1.2972538144757388
OG0000606.2	OG0001511.22	OG0005622.0	OG0001308.24	OG0009139.0	OG0000082.1	OG0002203.0	OG0006306.0
-0.6443071024337754	-0.5432989689917948	-3.010424979419093	-0.7372060633793455	-2.0837526763099867	-0.853866171106625	-0.7157227819448722	-1.1165355818976774
OG0000147.0	OG0005949.0	OG0000929.1	OG0008204.0	OG0000082.1	OG0000382.41	OG0001637.1
-1.5803532474685666	-1.101907764440992	-1.5428785420499038	-0.8173077024838097	-0.853866171106625	-1.7863727614880525	-0.5838088061047857
OG0000596.47	OG0001430.24	OG0006698.0	OG0000409.24	OG0005696.4	OG0000018.289	OG0000441.96
-1.1982618984335427	-0.9086048139883	-1.3751972347470527	0.10447085776291738	-1.7833899312575583	-0.18885782633069192	-1.2440015162022935
OG0001686.0	OG0000225.48	OG0000539.1	OG0001501.1	OG0000082.1	OG0006271.0	OG0020868.0	OG0003044.18
-0.43012009385192357	-0.3057883922321096	-0.8282807609121521	-1.6859415911417395	-0.853866171106625	-1.165207895235545	-3.4014061160970233	-0.9930916306578225
OG0001486.1	OG0016884.2	OG0008450.4	OG0001502.26	OG0007167.0	OG0001048.24	OG0000007.976	OG0000256.24
-1.5898760215870733	-3.4784265693505394	-2.310432456049533	-2.2155797753822157	-1.3658714424749592	-1.2873602020691484	-0.24982229440694287	-0.250165425587271
OG0006817.2	OG0000002.1788	OG0009267.0	OG0008224.0	OG0001329.24	OG0000785.2	OG0000004.888	OG0001471.24
-1.5920490827614273	0.2893623404769398	-1.0609991549304867	-2.8303315004769143	-1.1012885820105052	-0.6060347243397574	-1.2375236119530149	-1.1635910677202619
OG0001811.2	OG0000001.1420	OG0000919.32	OG0000014.1	OG0002167.0	OG0010752.0	OG0003091.24	OG0022268.0
