orthogroup	subset	gene	description	1021	WSM419	USDA1106	descriptions
OG0000000	OG0000000.3957	aglK,ugpC,smoK,lacK1,thuK	ABC transporter ATP binding protein	1021_SM_b20002,1021_SM_b20328,1021_SM_b20630,1021_SM_b20972,1021_SM_b21152,1021_SM_b21460,1021_SM_b21605,1021_SMa2311,1021_SMc01499,1021_SMc02869,1021_SMc03065,1021_SMc04140	WSM419_Smed_0183,WSM419_Smed_0296,WSM419_Smed_1699,WSM419_Smed_2355,WSM419_Smed_3324,WSM419_Smed_3400,WSM419_Smed_3809,WSM419_Smed_4132,WSM419_Smed_4163,WSM419_Smed_4396,WSM419_Smed_4645,WSM419_Smed_5579		alpha-glucoside ABC transporter ATP-binding protein; glycerol-3-phosphate ABC transporter ATPase; ABC transporter ATP-binding protein; sugar ABC transporter ATP-binding protein; sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC; alpha-glucoside ABC transporter, ATP-binding protein; sorbitol/mannitol ABC transporter ATPase; lactose ABC transporter ATP-binding protein; ABC transporter-like protein; sugar uptake ABC transporter ATP-binding protein; ATP-binding transport ABC transporter protein; TOBE domain-containing protein; ATP-binding cassette domain-containing protein; trehalosemaltose transporter ATP-binding protein
OG0000000	OG0000000.3845	ugpC	sn glycerol 3 phosphate ABC transporter ATP binding protein UgpC	1021_SMc02474	WSM419_Smed_2947		ABC transporter ATP-binding protein; sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC; ABC transporter-like protein
OG0000000	OG0000000.361		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000000	OG0000000.1990		ABC transporter T b ding protein	1021_SM_b20156,1021_SMa0526	WSM419_Smed_3962		ABC transporter ATP-binding protein; maltose/trehalose ABC transporter; ABC transporter-like protein
OG0000000	OG0000000.3460	ugpC	ABC transporter ATP binding protein	1021_SM_b20661	WSM419_Smed_2066,WSM419_Smed_4327		ABC transporter ATP-binding protein; sugar uptake ABC transporter ATP-binding protein; sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC; sugar ABC transporter ATP-binding protein; ABC transporter-like protein
OG0000000	OG0000000.3774	ugpC	sn glycerol 3 phosphate ABC transpor ter ATP binding protein UgpC	1021_SMc01980	WSM419_Smed_2423		ABC transporter ATP-binding protein; sugar transport system ATP-binding ABC transporter protein; sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC; ABC transporter-like protein
OG0000000	OG0000000.585		ine ABC transporter ATP binding protein		WSM419_Smed_5470		ABC transporter ATP-binding protein; polyamine ABC transporter ATP-binding protein; spermidine/putrescine ABC transporter ATPase subunit
OG0000000	OG0000000.611		ABC transporter ATP-binding protein				ABC transporter ATP-binding protein
OG0000000	OG0000000.2010		ABC transporter ATP binding protein	1021_SMc02519	WSM419_Smed_2904		ABC transporter ATP-binding protein; ABC transporter-like protein; sugar ABC transporter ATP-binding protein; ATP-binding protein of sugar ABC transporter
OG0000000	OG0000000.2924	ugpC	sn glycerol 3 phosphate portr ATP binding protein UgpC	1021_SM_b20419,1021_SM_b21106,1021_SMa0713,1021_SMa0714	WSM419_Smed_2142,WSM419_Smed_2451,WSM419_Smed_3588,WSM419_Smed_3707,WSM419_Smed_4976		sn-glycerol-3-phosphate import ATP-binding protein UgpC 1; sn-glycerol-3-phosphate import ATP-binding protein UgpC 2; ABC transporter ATP-binding protein; sugar ABC transporter ATP-binding protein; sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC; glycerol-3-phosphate ABC transporter ATP-binding protein; ABC transporter-like protein; ABC transporter related sn-glycerol-3-phosphate import ATP-binding protein UgpC; sn-glycerol-3-phosphate import ATP-binding protein UgpC 3; sn-glycerol-3-phosphate import ATP-binding protein UgpC; glycerol-3-phosphate transporter ATP-binding subunit
OG0000001	OG0000001.425	fabG,smoS,fabG3	ox	1021_SMc00268,1021_SMc01500	WSM419_Smed_2354,WSM419_Smed_3033,WSM419_Smed_3132		3-oxoacyl-ACP reductase; SDR family oxidoreductase; SDR family NAD(P)-dependent oxidoreductase; 3-oxoacyl-ACP reductase FabG; pyridoxal 4-dehydrogenase; hypothetical protein; oxidoreductase; L-iditol 2-dehydrogenase; short-chain dehydrogenase/reductase SDR; short-chain dehydrogenase; KR domain-containing protein; NAD(P)-dependent oxidoreductase; sorbitol dehydrogenase; short chain dehydrogenase/reductase; glucose 1-dehydrogenase
OG0000001	OG0000001.969		short-chain dehydrogenase/reductase SDR		WSM419_Smed_1707		short-chain dehydrogenase/reductase SDR
OG0000001	OG0000001.3150	fabG,y4vI	# n r	1021_SMa0335	WSM419_Smed_5223		dehydrogenase; 3-ketoacyl-(acyl-carrier-protein) reductase; 3-oxoacyl-ACP reductase; SDR family oxidoreductase; SDR family NAD(P)-dependent oxidoreductase; short chain dehydrogenase; short-chain dehydrogenase; KR domain-containing protein; NAD(P)-dependent oxidoreductase; 3-ketoacyl-ACP reductase
OG0000001	OG0000001.1420	gdh,fabG1		1021_SM_b20456,1021_SM_b20493,1021_SM_b21383	WSM419_Smed_3675		putative oxidoreductase; SDR family dehydrogenase; 3-oxoacyl-ACP reductase; SDR family oxidoreductase; SDR family NAD(P)-dependent oxidoreductase; 3-oxoacyl-ACP reductase FabG; dehydrogenasereductase; short chain dehydrogenase; oxidoreductase; short-chain dehydrogenase/reductase SDR; short-chain dehydrogenase; short-chain dehydrogenase/reductase; KR domain-containing protein; NAD(P)-dependent oxidoreductase; 3-ketoacyl-ACP reductase; glucose 1-dehydrogenase
OG0000001	OG0000001.2003		3 oxoacyl A reductase				NAD(P)-dependent oxidoreductase; 3-oxoacyl-ACP reductase; 3-oxoacyl-ACP reductase FabG; KR domain-containing protein
OG0000001	OG0000001.2114		NAD(P) dependent oxidoreductase				SDR family NAD(P)-dependent oxidoreductase; NAD(P)-dependent oxidoreductase; 3-oxoacyl-ACP reductase; SDR family oxidoreductase
OG0000001	OG0000001.2	bdhA,fabG2	NAD(P) dependent ox ido reductase	1021_SMa0719,1021_SMc00260,1021_SMc02037,1021_SMc02339	WSM419_Smed_1437,WSM419_Smed_2459,WSM419_Smed_3034,WSM419_Smed_3585		dehydrogenase; 3-oxoacyl-ACP reductase; SDR family oxidoreductase; SDR family NAD(P)-dependent oxidoreductase; 3-oxoacyl-ACP reductase FabG; oxidoreductase; short-chain dehydrogenase/reductase SDR; NAD(P)-dependent oxidoreductase; short-chain alcohol dehydrogenase; KR domain-containing protein; d-beta-hydroxybutyrate dehydrogenase; 2-deoxy-D-gluconate 3-dehydrogenase
OG0000001	OG0000001.2052	fabG	3 oxoacyl ACP reductase				NAD(P)-dependent oxidoreductase; 3-oxoacyl-ACP reductase
OG0000001	OG0000001.2546		n de o e	1021_SM_b20511,1021_SMa0059	WSM419_Smed_3597,WSM419_Smed_5843		dehydrogenase; 3-oxoacyl-ACP reductase; SDR family oxidoreductase; 2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase; short chain dehydrogenase/reductase family oxidoreductase; SDR family NAD(P)-dependent oxidoreductase; short chain dehydrogenase; short-chain dehydrogenase/reductase SDR; oxidoreductase; short-chain dehydrogenase; NAD(P)-dependent oxidoreductase; short-chain alcohol dehydrogenase; KR domain-containing protein
OG0000001	OG0000001.996	fabG	dd ase	1021_SM_b21474,1021_SMa0329,1021_SMc01991,1021_SMc02041	WSM419_Smed_2462,WSM419_Smed_3652,WSM419_Smed_4382		L-xylulose reductase; dehydrogenase; 3-oxoacyl-ACP reductase; D-threitol dehydrogenase; dehydrogenase of unknown specificity, short-chain alcohol dehydrogenase like protein; SDR family oxidoreductase; short chain dehydrogenase/reductase family oxidoreductase; SDR family NAD(P)-dependent oxidoreductase; short chain alcohol dehydrogenase-related dehydrogenase; short chain dehydrogenase; hypothetical protein; short-chain dehydrogenase/reductase SDR; 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase; short-chain dehydrogenase; 3-oxoacyl-[acyl-carrier-protein] reductase; KR domain-containing protein; NAD(P)-dependent oxidoreductase; 3-ketoacyl-ACP reductase; glucose 1-dehydrogenase
OG0000001	OG0000001.2142		ox	1021_SMa0339,1021_SMc00372,1021_SMc01698	WSM419_Smed_1274,WSM419_Smed_3492,WSM419_Smed_5225		3-oxoacyl-ACP reductase; 2-R-hydroxypropyl-CoM dehydrogenase; glucose dehydrogenase; SDR family oxidoreductase; 2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase; SDR family NAD(P)-dependent oxidoreductase; short chain alcohol dehydrogenase-related dehydrogenase; short chain dehydrogenase; oxidoreductase; short-chain dehydrogenase/reductase SDR; short-chain dehydrogenase; KR domain-containing protein; NAD(P)-dependent oxidoreductase; glucose 1-dehydrogenase
OG0000001	OG0000001.2899		NAD(P) dependent ox idoreductase	1021_SMc00264,1021_SMc00778,1021_SMc01635	WSM419_Smed_0321,WSM419_Smed_1441,WSM419_Smed_2171		dehydrogenase; 3-oxoacyl-ACP reductase; SDR family oxidoreductase; short chain dehydrogenase/reductase family oxidoreductase; SDR family NAD(P)-dependent oxidoreductase; oxidoreductase; short-chain dehydrogenase/reductase SDR; short-chain dehydrogenase; NAD(P)-dependent oxidoreductase; KR domain-containing protein
OG0000002	OG0000002.582		LysR family transcriptional regulator		WSM419_Smed_2248		LysR family transcriptional regulator
OG0000002	OG0000002.1059		LysR family transcriptional regulator	1021_SMa2107			GstR transcriptional regulator; LysR family transcriptional regulator
OG0000002	OG0000002.585		LysR family transcriptional regulator	1021_SMc04055	WSM419_Smed_2734		transcriptional regulator; LysR family transcriptional regulator
OG0000002	OG0000002.1147		LysR family transcriptional regulator	1021_SMa1602,1021_SMc01570	WSM419_Smed_2230,WSM419_Smed_6327		transcriptional regulator; LysR family transcriptional regulator
OG0000002	OG0000002.1088		LysR family transcriptional regulator				LysR family transcriptional regulator
OG0000002	OG0000002.1495		LysR family transcriptional regulator				LysR family transcriptional regulator
OG0000002	OG0000002.2		LysR family transcriptional regulator	1021_SM_b20494,1021_SMa0039,1021_SMa1966,1021_SMc01092,1021_SMc01817	WSM419_Smed_0065,WSM419_Smed_0600,WSM419_Smed_2363,WSM419_Smed_5851		transcriptional regulator; LysR family transcriptional regulator
OG0000002	OG0000002.1040	gstR	transcriptional regulator				transcriptional regulator
OG0000002	OG0000002.1788		LysR family transcriptional regulator	1021_SMa2027,1021_SMc02984	WSM419_Smed_2773,WSM419_Smed_6475		transcriptional regulator; hypothetical protein; LysR family transcriptional regulator
OG0000002	OG0000002.763	gstR	LysR family transcriptional regulator	1021_SM_b20004,1021_SM_b20211	WSM419_Smed_3912,WSM419_Smed_4126,WSM419_Smed_5526,WSM419_Smed_5569		transcriptional regulator; gstR-like transcriptional regulator protein; LysR family transcriptional regulator
OG0000003	OG0000003.0	rbsA2,rbsA4,araG,gguA,rbsA3,rbsA1,rbsA5	sugar ABC transporter ATP binding protein	1021_SM_b20017,1021_SM_b20317,1021_SM_b20351,1021_SM_b20485,1021_SM_b20503,1021_SM_b20507,1021_SM_b20622,1021_SM_b20673,1021_SM_b20713,1021_SM_b20718,1021_SM_b20855,1021_SM_b20894,1021_SM_b21344,1021_SM_b21376,1021_SM_b21588,1021_SMa0199,1021_SMa0270,1021_SMa1421,1021_SMa1998,1021_SMa2127,1021_SMc02032,1021_SMc02325,1021_SMc02337,1021_SMc02773	WSM419_Smed_0226,WSM419_Smed_2443,WSM419_Smed_2474,WSM419_Smed_3125,WSM419_Smed_3228,WSM419_Smed_3601,WSM419_Smed_3604,WSM419_Smed_3638,WSM419_Smed_3768,WSM419_Smed_3820,WSM419_Smed_4113,WSM419_Smed_4263,WSM419_Smed_4267,WSM419_Smed_4316,WSM419_Smed_4474,WSM419_Smed_4739,WSM419_Smed_4768,WSM419_Smed_4909,WSM419_Smed_5263,WSM419_Smed_5319,WSM419_Smed_5743,WSM419_Smed_5888		L-arabinose transporter ATP-binding protein; ABC transporter ATP-binding protein; ribose import ATP-binding protein RbsA1; ribose ABC transporter ATP-binding protein; ribose transport system, substrate-binding protein; ribose import ATP-binding protein RbsA 3; ribose import ATP-binding protein RbsA 2; L-arabinose ABC transporter ATP-binding protein AraG; xylose ABC transporter ATP-binding protein; ribose import ATP-binding protein RbsA 1; arabinose import ATP-binding protein AraG; ABC transporter ATPase; sugar ABC transporter; sugar ABC transporter ATP-binding protein; ABC transporter-like protein; MglA, ABC-type sugar transport system, ATPase component MglA; ribose/galactose/methyl galactoside import ATP-bindingprotein 2; ABC transporter; ribose/galactose/methyl galactoside import ATP-bindingprotein; ribose import ATP-binding protein rbsA; D-ribose transporter ATP-binding protein; sugar uptake ABC transporter ATP-binding protein; ribose/galactose/methyl galactoside import ATP-bindingprotein 3
OG0000004	OG0000004.1194		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000004	OG0000004.157		ABC transporter ATP-binding protein				ABC transporter ATP-binding protein
OG0000004	OG0000004.33	livF	ABC transporter ATP binding protein	1021_SMc01948	WSM419_Smed_2394		ABC transporter ATP-binding protein; ABC transporter-like protein
OG0000004	OG0000004.875	urtE	urea ABC transporter ATP-binding subunit UrtE				urea ABC transporter ATP-binding subunit UrtE
OG0000004	OG0000004.778	livF	ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000004	OG0000004.816	livF	ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000004	OG0000004.1032	urtE	urea ABC transporter ATP binding subunit UrtE				ABC transporter ATP-binding protein; urea ABC transporter ATP-binding subunit UrtE
OG0000004	OG0000004.828		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000004	OG0000004.842	livF	ABC transporter ATP-binding protein				ABC transporter ATP-binding protein
OG0000004	OG0000004.484	livF	ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000004	OG0000004.167	livF	ABC transporter ATP binding protein	1021_SMc02358	WSM419_Smed_5343		ABC transporter ATP-binding protein
OG0000004	OG0000004.1207		ABC transporter ATP binding protein	1021_SM_b20784,1021_SMc03119	WSM419_Smed_2866,WSM419_Smed_4221		ABC transporter ATP-binding protein; ABC transporter-like protein
OG0000004	OG0000004.433		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000004	OG0000004.888	urtE	urea ABC transporter ATP binding subunit UrtE	1021_SM_b21707	WSM419_Smed_4188		ABC transporter ATP-binding protein; urea ABC transporter ATP-binding subunit UrtE
OG0000004	OG0000004.846		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000004	OG0000004.680	livF	ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000004	OG0000004.1077		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000004	OG0000004.1832		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000005	OG0000005.2	artP	amino acid ABC transporter ATP binding protein				amino acid ABC transporter ATP-binding protein
OG0000005	OG0000005.484		amino acid ABC transporter ATP binding protein				ABC transporter; amino acid ABC transporter ATP-binding protein
OG0000005	OG0000005.297	glnQ	amino acid ABC transporter ATP binding protein				amino acid ABC transporter ATP-binding protein
OG0000005	OG0000005.131	glnQ	amino acid ABC transporter ATP binding protein	1021_SMa0083			ABC transporter ATP-binding protein; polar amino acid ABC transporter ATPase; amino acid ABC transporter ATP-binding protein
OG0000005	OG0000005.249	glnQ	amino acid ABC transporter ATP binding protein	1021_SMa0489			ABC transporter ATP-binding protein; glutamine ABC transporter ATP-binding protein; amino acid ABC transporter ATP-binding protein
OG0000005	OG0000005.126	glnQ	amino acid ABC transporter ATP binding protein				amino acid ABC transporter ATP-binding protein
OG0000005	OG0000005.575	glnQ,ehuA	amino acid ABC transporter ATP binding protein	1021_SM_b20266,1021_SM_b20427,1021_SMa0508	WSM419_Smed_3700,WSM419_Smed_3865		GlnQ, ABC-type polar amino acid transport system, ATPase component GlnQ; ABC transporter ATP-binding protein; ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA; ectoine/hydroxyectoine ABC transporter ATP-binding protein; ABC transporter-like protein; amino acid ABC transporter ATP-binding protein
OG0000005	OG0000005.559		ABC transporter T b dike protein		WSM419_Smed_2981		ABC transporter-like protein; amino acid ABC transporter ATP-binding protein
OG0000005	OG0000005.968	glnQ	amino acid ABC transpor ter ATP binding protein	1021_SM_b21096,1021_SM_b21138,1021_SMa2195,1021_SMc02260,1021_SMc03894	WSM419_Smed_0176,WSM419_Smed_3138,WSM419_Smed_4549,WSM419_Smed_4985,WSM419_Smed_5459		ABC transporter ATP-binding protein; histidine/lysine/arginine/ornithine ABC transporter, ATP-binding component; ectoine/hydroxyectoine ABC transporter ATP-binding protein EhuA; histidine/lysine/arginine/ornithine ABC transporter ATP-binding protein HisP; amino-acid ABC transporter ATP-binding protein; octopine ABC transporter ATP-binding protein OccP 1; glutamine ABC transporter ATP-binding protein GlnQ; amino acid transporter ABC transporter ATP-binding protein; glutamine ABC transporter ATP-binding protein; octopine ABC transporter ATP-binding protein OccP 4; amino acid ABC transporter ATP-binding protein; amino acid transporter; octopine ABC transporter ATP-binding protein OccP 5; octopine ABC transporter ATP-binding protein OccP 2; octopine ABC transporter ATP-binding protein OccP 3; hypothetical protein; ABC transporter-like protein; ATP-binding cassette domain-containing protein; ABC transporter; octopine ABC transporter ATP-binding protein; HisP, ABC-type histidine transport system, ATPase component HisP; histidine/lysine/arginine/ornithine ABC transporter ATP-binding protein
OG0000005	OG0000005.545		amino acid ABC transporter ATP binding protein		WSM419_Smed_2101		ABC transporter-like protein; amino acid ABC transporter ATP-binding protein
OG0000005	OG0000005.318	aapP,glnQ	amino acid ABC transport er ATP binding protein	1021_SMc02121,1021_SMc03135	WSM419_Smed_1105,WSM419_Smed_2846,WSM419_Smed_6440		amino-acid transport system ATP-binding ABC transporter protein; ABC transporter ATP-binding protein; ABC transporter related; ABC transporter-like protein; amino acid ABC transporter ATP-binding protein; general L-amino acid transport ATP-binding ABC transporter protein; ATPase
OG0000006	OG0000006.561		ABC transport er permease	1021_SMa1649,1021_SMc02028,1021_SMc03272	WSM419_Smed_2439,WSM419_Smed_5621		ABC transporter permease; binding-protein-dependent transport systems inner membrane component; peptide transport system permease ABC transporter protein; peptide ABC transporter permease; binding-protein-dependent transport system inner membrane protein
OG0000006	OG0000006.231	dppC2	ABC transport er permease	1021_SMc01527	WSM419_Smed_2324,WSM419_Smed_3305		ABC transporter permease; cytochrome c550; peptide ABC transporter permease; binding-protein-dependent transport system inner membrane protein
OG0000006	OG0000006.1122	oppC	ABC transpor ter permease	1021_SM_b21039,1021_SM_b21198,1021_SMa1374,1021_SMa2083,1021_SMc02419,1021_SMc03128,1021_SMc04295	WSM419_Smed_1753,WSM419_Smed_2853,WSM419_Smed_4687,WSM419_Smed_5039,WSM419_Smed_5065,WSM419_Smed_5414,WSM419_Smed_5656,WSM419_Smed_5792		binding-protein-dependent transport systems inner membrane component; ABC transporter permease subunit; peptide transport system permease ABC transporter protein; peptide ABC transporter permease; binding-protein-dependent transport system inner membrane protein; ABC transporter permease; antimicrobial peptide ABC transporter permease; oligopeptidemurein peptide ABC transporter permease; oligopeptide uptake ABC transporter permease; oligopeptide ABC transporter inner membrane protein; peptide transport system permease
OG0000006	OG0000006.1077		ABC transport er permease	1021_SMa0106	WSM419_Smed_5165		ABC transporter permease; binding-protein-dependent transport systems inner membrane component
OG0000006	OG0000006.1	dppC,dppC1	pee ABC transpor t er permease	1021_SMc00788	WSM419_Smed_0331		peptide transporter; ABC transporter permease subunit; peptide ABC transporter permease; binding-protein-dependent transport system inner membrane protein; ABC transporter permease; dipeptide ABC transport system permease protein DppC; peptide ABC transporter; glutathione ABC transporter permease GsiD; dipeptide ABC transporter permease DppC
OG0000007	OG0000007.355		ABC transporter ATP binding protein	1021_SMc02346	WSM419_Smed_1128		ABC transporter ATP-binding protein; ABC transporter-like protein
OG0000007	OG0000007.560		ABC transporter ATP binding protein				ABC transporter ATP-binding protein
OG0000007	OG0000007.976	ssuB	ABC transporter ATP bind ing protein	1021_SM_b20183,1021_SM_b20569	WSM419_Smed_4216		ABC transporter ATP-binding protein; mannosyltransferase; nitrate/sulfonate/bicarbonate ABC transporter ATPase; aliphatic sulfonate ABC transporter ATP-binding protein 1; aliphatic sulfonate ABC transporter ATP-binding protein 2; ABC transporter-like protein; ATP-binding cassette domain-containing protein; ABC transporter ATPase; aliphatic sulfonate ABC transporter ATP-binding protein; aliphatic sulfonates transporter ATP-binding protein SsuB
OG0000007	OG0000007.585		ABC transporter ATP binding protein	1021_SMc01823	WSM419_Smed_2369		ABC transporter ATP-binding protein; ABC transporter-like protein; nitrate ABC transporter substrate-binding protein; ATP-binding protein
OG0000007	OG0000007.3	nrtC,tauB	ABC transporter ATP binding protein	1021_SM_b21527,1021_SMa0581	WSM419_Smed_4860		ABC transporter ATP-binding protein; nitrate ABC transporter ATP-binding protein; ABC transporter-like protein; taurin uptake ABC transporter ATP-binding protein; taurine ABC transporter ATP-binding protein; taurine import ATP-binding protein TauB; nitrate ABC transporter ATPase
OG0000007	OG0000007.338		ABC transporter ATP binding protein		WSM419_Smed_3148		ABC transporter ATP-binding protein; ABC transporter-like protein
OG0000008	OG0000008.1	mcpX,mcpV,mcpU	methyl accepting chemo taxis protein	1021_SMc00975,1021_SMc01104,1021_SMc04227	WSM419_Smed_0051,WSM419_Smed_0489,WSM419_Smed_1613		HAMP domain-containing protein; chemoreceptor methyl-accepting chemotaxis transmembrane protein; hypothetical protein; chemotaxis protein; methyl-accepting chemotaxis protein; methyl-accepting chemotaxis sensory transducer; methyl accepting chemotaxis protein; PAS domain S-box protein
OG0000008	OG0000008.388	mcpT,mcpZ,mcpW	methyl accepting chemotaxis protein	1021_SMc00765,1021_SMc01469,1021_SMc01719	WSM419_Smed_0082,WSM419_Smed_0305,WSM419_Smed_2051		methyl accepting chemotaxis transmembrane protein; HAMP domain-containing protein; methyl-accepting chemotaxis receptor; chemoreceptor methyl-accepting chemotaxis transmembrane protein; chemotaxis sensory transducer; hypothetical protein; chemotaxis protein; methyl-accepting chemotaxis protein; globin-coupled sensor protein; methyl-accepting chemotaxis sensory transducer; chemoreceptor Y4FA; chemoreceptor y4fA
OG0000009	OG0000009.1514		ABC transport er permease	1021_SM_b20477,1021_SMc04034	WSM419_Smed_3646		ABC transporter permease; peptide ABC transporter permease; binding-protein-dependent transport system inner membrane protein
OG0000009	OG0000009.191		ABC transporter permease				ABC transporter permease
